title,type,ontology/birthDate,ontology/deathDate,ontology/deathCause_label
Armin_Schreiner,Other,1874-03-25,1941-11-29,The Holocaust
Armond_Fields,Artist,1930-11-22,2008-08-17,Colorectal cancer
Arno_Assmann,Artist,1908-07-30,1979-11-30,Suicide
Arnold_S._Relman,Other,1923-06-17,2014-06-17,Melanoma
Art_Savage,Other,1951-07-03,2009-11-21,Lung cancer
Art_Smith_(pilot),Other,1890-03-27,1926-02-12,Aviation accidents and incidents
Art_Stevens,Other,1915-05-01,2007-05-22,Myocardial infarction
"Arthur_B._Hancock,_Jr.",Other,1910-01-24,1972-09-14,Pancreatic cancer
Arthur_Davidson_(motorcycling),Businessperson,1881-02-11,1950-12-30,Traffic collision
Arthur_Forwood,Politician,1836-06-23,1898-09-27,Colitis
Arthur_H._Parmelee,Other,1883-09-25,1961-06-05,Cerebral hemorrhage
Arthur_Hawley_Scribner,Other,1859-03-15,1932-07-03,Myocardial infarction
Arthur_J._Collingsworth,Other,1944-02-28,2013-07-23,Tumors of the hematopoietic and lymphoid tissues
Arthur_L._Welsh,Other,1881-08-14,1912-06-11,Aviation accidents and incidents
Arthur_Pentelow,Artist,1924-02-14,1991-08-06,Myocardial infarction
Aruna_Shanbaug_case,Other,1948-06-01,2015-05-18,Pneumonia
Ashley_Kriel,Activist,1966-10-17,1987-07-09,Shooting
August_Belmont_IV,Other,1908-12-30,1995-07-10,Stroke
Augustus_Matthiessen,Other,1831-01-02,1870-10-06,Suicide
Axel_Roth,Other,"['1936-10-10', '1936-10-25']",2008-11-12,Prostate cancer
Azean_Irdawaty,Artist,1950-02-27,2013-12-17,Liver failure
Abdallah_Somekh,Other,,1889-09-13,Cholera
Abdelhamid_Abou_Zeid,Other,,2013-02-25,French Armed Forces
Abdul_Rahman_Ghassemlou,Politician,1930-12-22,1989-07-13,Ministry of Intelligence
Abdul_Samad_Khan_Achakzai,Other,1907-07-07,1973-12-02,Assassination
Abdul_Sattar_Abu_Risha,Other,,2007-09-13,Assassination
Abdullah_Abdurahman,Politician,1872-12-18,1940-02-02,Cardiac arrest
Abdullah_al-Asiri,Other,,2009-08-27,Suicide attack
Aboud_Rogo,Other,,2012-08-27,Gunshot
Ada_Comstock,Other,1876-12-11,1973-12-12,Heart failure
Admiral_Dot,Other,,"['1918-10-28', '1918-10-29']",1918 flu pandemic
Adnan_Patrawala_murder_case,Other,1990-09-21,2007-08-19,Homicide
Adolf_H._Lundin,Businessperson,1932-12-19,2006-09-30,Leukemia
Adolph_B._Spreckels,Businessperson,1857-01-05,1924-06-28,Pneumonia
Adolph_Lewisohn,Businessperson,1849-05-27,1938-08-17,Myocardial infarction
Agnes_Mary_Mansour,Other,1931-04-10,2004-12-17,Breast cancer
Agnes_Milowka,Other,1981-12-23,2011-02-27,Drowning
Agness_Underwood,Other,1902-12-17,1984-07-03,Heart failure
Ahmed_Jabari,Other,,2012-11-14,Airstrike
Ahn_Sahng-hong,Other,1918-01-13,1985-02-25,Stroke
Ahuntsic_(missionary),Other,,1625-06-25,Assassination
Ajudhiya_Nath_Khosla,Politician,1892-12-11,,Death by natural causes
Akhil_Mehta,Other,1987-09-19,2015-03-28,Suicide
Al_Stump,Artist,1916-10-20,1995-12-14,Heart failure
Alan_Dinehart,Artist,1889-10-03,1944-07-17,Myocardial infarction
Alan_Howard_(dancer),Artist,,2003-03-06,Cancer
Alan_Moller,Other,1950-02-01,2014-06-19,Alzheimer's disease
Alan_Mullarkey,Politician,1937-07-12,2007-02-10,Chronic obstructive pulmonary disease
Alan_Oakley_(designer),Other,1927-04-27,2012-05-18,Cancer
Alan_Scott_(blacksmith),Other,1936-03-02,2009-01-26,Heart failure
Barbara_Daly_Baekeland,Other,,1972-11-17,Murder
Barbara_Lang_(film_actress),Artist,1928-03-02,1982-07-22,Pneumonia
Barbara_Luddy,Artist,1908-05-25,1979-04-01,Lung cancer
Barclay_Harding_Warburton_II,Other,1898-06-15,1936-11-26,Gunshot
Bartlett_S._Durham,Businessperson,1824-11-03,1859-02-02,Pneumonia
Basanti_Dulal_Nagchaudhuri,Other,1917-09-06,2006-06-25,Cerebral infarction
Bassam_Zuamut,Artist,1951-03-27,2004-10-16,Renal failure
Bedri_Rahmi_Eyüboğlu,Artist,,"['1973-09-21', '1975-09-21']",Pancreatic cancer
Ben_Boloff,Other,,1932-10-12,Tuberculosis
Ben_Bowen,Other,2002-11-14,"['2005-02-25', '2005-03-25']",Brain tumor
Ben_Breedlove,Other,1993-08-08,2011-12-25,Cardiac arrest
Ben_Byer,Artist,1971-01-08,2008-07-03,Amyotrophic lateral sclerosis
Ben_Carter_(actor),Artist,1910-02-10,1946-12-12,Myocardial infarction
Ben_Davidson_(politician),Politician,,,Myasthenia gravis
Ben_F._Whitaker,Businessperson,,1954-04-20,Myocardial infarction
Ben_Powers,Artist,"['1950-07-05', '1950-07-07']",2015-04-06,Liver cancer
Benay_Venuta,Artist,1910-01-27,1995-09-01,Lung cancer
Benjamin_Levinsky,Other,,1922-12-05,Murder
Benjamin_Ratcliff,Other,1841-10-21,1896-02-07,Hanging
Bernard_Durning,Other,1893-08-24,1923-08-29,Typhoid fever
Bernard_Friery,Other,1844-02-01,1866-08-17,Hanging
Bernard_J._Ridder,Businessperson,1913-06-29,1983-07-30,Cancer
Bernard_Kroger,Businessperson,1860-01-24,1938-07-21,Myocardial infarction
Bernard_Parker_Haigh,Other,1884-07-08,1941-01-18,Pneumonia
Bernie_Boston,Other,1933-05-18,2008-01-22,Hematology
Bertha_Fry,Other,1893-12-01,2007-11-14,Pneumonia
Bertha_Gilkey,Activist,1949-03-18,2014-05-25,Cancer
Berting_Labra,Artist,"['1933-04-17', '1934-04-17']",2009-02-10,Chronic obstructive pulmonary disease
Bess_Houdini,Other,"['1876-01-22', '1876-01-23']",1943-02-11,Myocardial infarction
Besse_Cooper,Other,1896-08-26,2012-12-04,Respiratory failure
Bessilyn_Johnson,Other,"['1871-01-14', '1872-01-16']",1943-04-22,Traffic collision
Beth_Doe,Other,,1976-12-19,Homicide
Beto_Quintanilla,Other,,2007-03-18,Myocardial infarction
Betsie_ten_Boom,Other,1885-08-19,1944-12-16,Pernicious anemia
Beverly_Eckert,Other,1951-05-29,2009-02-12,Colgan Air Flight 3407
Bhante_Dharmawara,Other,1889-02-12,1999-06-26,Death by natural causes
Bill_Biggart,Other,1947-07-20,2001-09-11,One World Trade Center
Bill_Finnegan,Other,1928-06-29,2008-11-28,Parkinson's disease
"Bill_France,_Jr.",Other,1933-04-04,2007-06-04,Lung cancer
Bill_Kuster,Other,1930-05-09,2006-08-12,Leukemia
Bill_Lee_(singer),Artist,1916-08-21,1980-11-15,Brain tumor
Bill_Onus,Activist,1906-11-15,1968-01-10,Coronary occlusion
Bill_Parry_(mathematician),Other,1934-07-03,2006-08-20,Cancer
Billie_Mae_Richards,Artist,1921-11-21,2010-09-10,Stroke
Billy_De_Wolfe,Artist,1907-02-18,1974-03-05,Lung cancer
Billy_Lustig,Other,,1913-08-16,Murder
Blaine_Stubblefield,Artist,1896-01-26,1960-12-18,Liver cancer
Blair_Milan,Artist,1981-06-25,2011-04-17,Acute myeloid leukemia
Blanca_Errázuriz,Other,1894-04-09,1940-03-20,Suicide
Blasius_Kozenn,Other,1821-01-24,1871-05-29,Typhoid fever
Bo_Sweeney,Other,1862-09-20,1917-07-16,Myocardial infarction
Bob_Allen_(surgeon),Other,,,Apoplexy
Bob_Burman,Other,1884-04-23,1916-04-08,Traffic collision
Bob_DeLaney,Other,,2008-11-25,Stroke
Bob_Grant_(actor),Artist,"['1910-04-14', '1932-04-21']",2003-11-08,Suicide
Bob_Haymes,Artist,1923-03-29,"['1989-01-27', '1989-01-28']",Amyotrophic lateral sclerosis
Bob_Holt_(actor),Artist,1928-12-28,1985-08-02,Myocardial infarction
Bob_Marley,Artist,1945-02-06,1981-05-11,Melanoma
Bob_Smalhout,Other,1927-10-13,2015-07-02,Renal failure
Bobby_Anderson_(actor),Artist,1933-03-06,2008-06-06,Cancer
Bobby_Gore,Activist,1936-05-11,2013-02-12,Chronic obstructive pulmonary disease
Boleslav_Vladimirovich_Likhterman,Other,1902-10-14,1967-01-20,Leukemia
Bonnie_Bonnell,Other,1905-08-01,1964-03-14,Liver failure
Bonnie_Poe,Artist,1912-10-15,1993-10-16,Pneumonia
Boris_Bakhmeteff,Other,1880-05-14,1951-07-21,Myocardial infarction
Bow_Kum,Other,,1909-08-15,Murder
Brandon_Hurst,Artist,1866-08-30,1947-07-15,Arteriosclerosis
Brandon_Stoddard,Other,1937-03-31,2014-12-22,Bladder cancer
Brenden_Foster,Activist,1997-10-04,2008-11-21,Leukemia
Brett_King,Artist,1920-12-29,1999-01-14,Leukemia
Brian_Bell_(businessman),Businessperson,1928-07-03,2010-07-26,Heart failure
Brigitte_Burdine,Other,1962-08-08,2010-12-29,Traffic collision
Brittany_Maynard,Activist,1984-11-19,2014-11-01,Brain tumor
Brooke_E._Sheldon,Other,1931-08-29,2013-02-11,Uterine cancer
Brooke_Greenberg,Other,"['1993-01-05', '1993-01-08']",2013-10-24,Bronchomalacia
Brooks_Thomas,Other,1931-11-28,2010-02-05,Brain injury
Bror_Julius_Olsson_Nordfeldt,Artist,1878-03-13,1955-04-21,Myocardial infarction
Bruce_Adler,Artist,1944-11-27,2008-07-25,Liver cancer
Bruce_Carver,Other,1948-05-04,2005-12-28,Cancer
Bruce_Edwards_Ivins,Other,1946-04-22,2008-07-29,Suicide
Bruce_Pelz,Artist,1936-08-11,2002-05-09,Pulmonary embolism
Buckskin_Girl,Other,,1981-04-23,Homicide
Buddy_McDonald,Artist,1922-10-01,2008-09-22,Heart failure
Buell_Quain,Other,1912-05-31,1939-08-02,Suicide
Burchard_Woodson_DeBusk,Other,1877-10-23,1936-06-29,Myocardial infarction
Burr_Caswell,Businessperson,1807-01-03,1896-09-15,Death by natural causes
Buzz_Potamkin,Other,1945-10-22,2012-04-22,Pancreatic cancer
Byron_Sunderland,Other,1819-11-22,1901-06-30,Embolism
Børge_Johannes_Lauritsen,Other,1916-10-22,1944-06-23,Ballistic trauma
B.S._Pully,Artist,1910-05-14,1972-01-06,Myocardial infarction
Bahiya_Al_Aradi,Other,,2011-03-21,Shotgun shell
Charles_McDonnell_(police_officer),Other,1841-11-18,"['1888-08-14', '1888-08-15']",Myocardial infarction
Charles_Miller_(gambler),Other,1851-01-01,1881-11-07,Murder
Charles_Norris_(medical_examiner),Other,1867-12-04,1935-09-11,Heart failure
Charles_R._Adrian,Other,1922-03-12,2004-05-28,Diabetes mellitus
Charles_Reisner,Other,1887-03-14,1962-09-24,Myocardial infarction
Charles_Scribner_I,Businessperson,1821-02-21,1871-08-26,Typhoid fever
Charles_Smith_(actor),Artist,1920-09-13,1988-12-26,Myocardial infarction
Charles_Smith_(developer),Other,1901-03-28,1995-12-30,Myocardial infarction
Charles_W._Clark_(businessman),Businessperson,1871-11-03,1933-04-03,Pneumonia
Charles_Wertenbaker,Other,,,Colorectal cancer
Charles_Wilkins_Short,Other,1794-10-06,1863-03-07,Typhoid fever
Charlotte_Canda,Other,1828-02-03,1845-02-03,Carriage
Chat_Silayan,Artist,1959-07-08,2006-04-23,Colorectal cancer
Cheryl_Spector,Activist,1958-02-03,2007-09-04,Myeloid leukemia
Chet_Curtis,Other,1939-04-15,2014-01-22,Pancreatic cancer
Chikahiko_Koizumi,Other,1884-09-09,1945-09-13,Seppuku
Ching_Arellano,Artist,1960-06-06,2011-02-12,Myocardial infarction
Christian_Ulrik_Hansen,Other,1921-05-26,1944-06-23,Execution by firing squad
Christine_Hargreaves,Artist,1939-03-22,1984-08-12,Brain tumor
Christopher_%22Crip%22_McWilliams,Other,1963-12-15,2008-06-28,Cancer
Christopher_Dark,Artist,1920-04-21,1971-10-10,Myocardial infarction
Christopher_Mitchell_(actor),Artist,1947-05-21,2001-02-22,Cancer
Chubby_Oates,Other,1942-12-23,2006-11-10,Myocardial infarction
Chuck_Smith_(pastor),Other,1927-06-25,2013-10-03,Lung cancer
Clare_Cathcart,Artist,1965-10-03,2014-09-04,Asthma
Clarine_Seymour,Artist,1898-12-09,1920-04-25,Pneumonia
Claudia_Burton_Bradley,Other,1909-11-28,1967-10-05,Coronary occlusion
Claudia_McNeil,Artist,1917-08-13,1993-11-25,Diabetes mellitus
Clegg_Hoyt,Artist,1910-12-10,1967-10-06,Stroke
Clement_L._Hirsch,Businessperson,1914-04-26,2000-03-15,Cancer
Cliff_Osmond,Artist,1937-02-26,2012-12-22,Pancreatic cancer
Clive_Dunn,Artist,1920-01-09,2012-11-06,Complication (medicine)
Coenraad_de_Buys,Other,,,Yellow fever
Coleman_Jacoby,Artist,1915-04-16,2010-10-20,Pancreatic cancer
Colin_Blakely,Artist,1930-09-23,1987-05-07,Leukemia
Colin_Tarrant,Artist,1952-06-14,2012-01-26,Suicide
Colleen_Howe,Other,1933-02-17,2009-03-06,Pick's disease
Commodore_Nutt,Other,1848-04-01,1881-05-25,Bright's disease
Connie_Cezon,Artist,1925-03-28,2004-02-26,Breast cancer
Connie_Haines,Artist,1921-01-20,2008-09-22,Myasthenia gravis
Constance_Adams_DeMille,Artist,1874-04-27,1960-07-17,Pneumonia
Constantia_Grierson,Artist,,1732-12-02,Tuberculosis
Cora_Gooseberry,Other,,1852-07-30,Death by natural causes
Corky_Trinidad,Other,1939-05-26,2009-02-13,Pancreatic cancer
Craig_Rodwell,Activist,1940-10-31,1993-06-18,Stomach cancer
Curtis_McClarin,Artist,,2014-03-04,Intracranial aneurysm
Cynthia_L._Mahoney,Other,1951-11-15,2006-11-01,World Trade Center site
Cyril_Delevanti,Artist,1889-02-23,1975-12-13,Lung cancer
Cyrus_K._Bettis,Other,1893-01-02,1926-09-01,Meningitis
C._R._Simha,Artist,1942-06-16,2014-02-28,Prostate cancer
Calel_Perechodnik,Other,1916-09-08,,Suicide
Carin_Göring,Other,1888-10-21,1931-10-17,Myocardial infarction
Carl_B._Squier,Other,1893-04-17,1967-11-05,Cancer
Carl_Steven,Artist,"['1972-11-04', '1974-11-04']",2011-07-31,Heroin
Carleton_G._Young,Artist,"['1907-05-26', '1907-05-28']",1971-07-11,Cancer
Carmen_Hornillos,Other,1962-06-16,2014-07-04,Cancer
Carmen_Milano,Other,1929-07-27,2006-01-03,Cardiac arrest
Carol_Christensen,Artist,1937-09-14,2005-06-04,Cancer
Carole_Cole,Artist,1944-10-17,2009-05-19,Lung cancer
Carole_Mathews,Artist,1920-09-13,2014-11-06,Heart failure
Caroline_Leonetti_Ahmanson,Businessperson,1918-04-12,2005-06-21,Alzheimer's disease
Casey_Johnson,Other,1979-09-24,2010-01-04,Diabetic ketoacidosis
Casimiro_de_Abreu,Other,1839-01-04,1860-10-18,Tuberculosis
Caspar_Bowden,Other,1961-08-19,2015-07-09,Melanoma
Casper_ten_Boom,Other,1859-05-18,1944-03-10,Tuberculosis
Catya_Sassoon,Artist,"['1968-09-03', '1968-09-08']",2002-01-01,Myocardial infarction
Cavan_Kendall,Artist,1942-05-22,1999-10-29,Cancer
Cesare_Danova,Artist,1926-03-01,1992-03-19,Myocardial infarction
Cesare_Terranova,Politician,"['1921-08-15', '1921-08-25']",1979-09-25,Sicilian Mafia
Charles_Aidman,Artist,1925-01-21,1993-11-07,Cancer
Charles_B._Winstead,Other,1891-05-25,1973-08-03,Pneumonia
Charles_Boarman_(pioneer),Other,1828-10-28,1880-11-22,Smallpox
Charles_DeWitt_Watts,Other,1917-09-21,2004-07-12,Diabetes mellitus
Charles_Devlin,Artist,,1881-02-01,Pneumonia
Charles_E._Courtney,Other,1849-11-13,1920-07-17,Apoplexy
Charles_G._Shanks,Other,,1895-07-24,Cardiovascular disease
Charles_Garry,Other,1909-03-17,"['1991-08-16', '1991-10-16']",Stroke
Charles_Gifkins,Other,1856-02-19,1897-01-31,Suicide
Charles_Herbert_Locke,Businessperson,"['1910-09-21', '1910-09-24']",1977-05-15,Myocardial infarction
Charles_Jasper_Glidden,Other,1857-08-29,1927-09-11,Cancer
Charles_Le_Gendre,Other,1830-08-26,1899-09-01,Apoplexy
Charles_Lock,Other,,1804-09-12,Plague (disease)
Édouard_Beaupré,Other,1881-01-09,1904-07-03,Tuberculosis
Dann_Cahn,Other,1923-04-09,2012-11-21,Death by natural causes
Danny_Arnold,Artist,1925-01-23,1995-08-19,Heart failure
Danny_Driscoll,Other,,1888-01-23,Hanging
Darius_Miller_(railroad_president),Businessperson,1859-04-03,1914-08-24,Appendicitis
Darshan_Singh_Pheruman,Politician,1885-08-01,1969-10-27,Hunger strike
Daryl_Duke,Other,1929-03-08,2006-10-21,Pulmonary fibrosis
Daul_Kim,Other,1989-05-31,2009-11-19,Suicide
Dave_Martin_(screenwriter),Artist,1935-01-01,2007-03-30,Lung cancer
Dave_O'Brien_(actor),Artist,1912-05-31,1969-11-08,Myocardial infarction
Dave_Powers_(director),Other,1932-12-02,2008-07-03,Skin cancer
David_Bale,Businessperson,1941-09-02,2003-12-30,Lymphoma
David_Battley,Artist,1935-11-05,2003-01-20,Myocardial infarction
David_Collins_(interior_designer),Other,1955-03-01,2013-07-17,Melanoma
David_Dick_(Kentucky),Artist,1930-02-18,2010-07-16,Prostate cancer
David_Harris_Underhill,Other,1850-06-05,1936-06-29,Cerebral hemorrhage
David_Haskell,Artist,1948-06-04,2000-08-30,Brain tumor
"David_Montagu,_4th_Baron_Swaythling",Other,1928-08-06,1998-07-01,Leukemia
David_Palecek,Other,1972-08-08,2010-02-16,Staphylococcus
David_Reimer,Other,1965-08-22,2004-05-04,Suicide
David_Richmond_(activist),Activist,1941-04-20,"['1990-07-12', '1990-12-07']",Lung cancer
David_Sweetman,Artist,"['1943-03-16', '1943-03-18']","['2002-04-07', '2002-04-08']",Multiple system atrophy
David_Swift_(director),Other,1919-07-27,2001-12-31,Heart failure
David_Voelker,Other,1953-05-13,2013-05-21,Respiratory disease
David_Walsh_(mining),Businessperson,1945-08-11,1998-06-04,Aneurysm
David_Zelag_Goodman,Artist,1930-01-15,2011-09-26,Progressive supranuclear palsy
Dean_O'Banion,Other,1892-07-08,1924-11-10,Murder
Death_of_Abdulredha_Buhmaid,Other,1982-09-28,2011-02-18,Ammunition
Death_of_Ali_Abdulhadi_Mushaima,Other,1989-08-26,2011-02-14,Shotgun shell
Death_of_Beto_Laudisio,Other,,2012-03-18,New South Wales Police Force
Death_of_Fadhel_Al-Matrook,Other,1979-11-08,2011-02-15,Shotgun shell
Death_of_Jairo_Mora_Sandoval,Activist,1987-03-22,2013-05-31,Asphyxia
Death_of_Janice_Marie_Young,Other,1957-06-17,1973-06-09,Vehicular homicide
Death_of_Kelsey_Smith-Briggs,Other,2002-12-28,2005-10-11,Homicide
Death_of_Latasha_Harlins,Other,1975-07-14,1991-03-16,Gunshot
Death_of_Sean_Rigg,Other,1968-02-11,2008-08-21,Cardiac arrest
Death_of_Shane_Todd,Other,,,Asphyxia
Debi_Austin,Other,1950-04-13,2013-02-22,Cancer
Debo_Prasad_Barooah,Other,1930-10-01,2013-01-28,Cardiac arrest
Debu_Deodhar,Other,,2010-09-01,Cancer
Dee_C._Chuan,Businessperson,1888-08-13,1940-10-27,Tuberculosis
Delia_Green,Other,,1900-12-25,Homicide
Delmer_Brown,Other,1909-11-20,2011-11-09,Stroke
Denise_Borino-Quinn,Artist,1964-01-06,2010-10-27,Liver cancer
Dennis_E._Fitch,Other,1942-12-19,2012-05-07,Brain tumor
Dennis_Hoey,Artist,1893-03-30,1960-07-25,Kidney disease
Dennis_Main_Wilson,Other,1924-05-01,1997-01-20,Lung cancer
Derek_Higgs,Businessperson,1944-04-03,2008-04-28,Myocardial infarction
Derya_Arbaş,Artist,1968-06-17,2003-10-22,Heart failure
Dharmesh_Tiwari,Other,1951-04-27,2014-08-06,Cardiac arrest
Diana_Sands,Artist,1934-08-22,1973-09-21,Leiomyosarcoma
Diane_Geppi-Aikens,Other,1962-10-04,2003-06-29,Brain tumor
Dick_Griffey,Other,1938-11-16,2010-09-24,Coronary artery bypass surgery
Dick_Hammer,Artist,1930-07-17,1999-10-18,Lung cancer
Dick_Purcell,Artist,1908-08-06,1944-04-10,Myocardial infarction
Dick_Wessel,Artist,1913-04-20,1965-04-20,Myocardial infarction
Dick_Wesson_(announcer),Artist,1919-02-20,1979-01-27,Suicide
Dimitar_Obshti,Other,,1873-01-10,Hanging
Dina_Manfredini,Other,1897-04-04,2012-12-17,Infection
Dina_de_Marco,Artist,1937-07-06,1998-06-17,Cancer
Dmitry_Okhotsimsky,Other,1921-02-26,2005-12-18,Cancer
Doe_Avedon,Artist,1925-04-07,"['2011-12-18', '2011-12-23']",Pneumonia
Dolores_Della_Penna,Other,1954-12-13,,Homicide
Dolores_Guadalupe_García_Escamilla,Other,,2005-08-16,Liver failure
Don_C._Harvey,Artist,1911-12-12,1963-04-23,Myocardial infarction
Don_Devlin,Artist,1930-02-26,2000-12-11,Lung cancer
Don_Dubbins,Artist,1928-06-28,1991-08-17,Cancer
Don_Grady,Artist,1944-06-08,2012-06-27,Cancer
Don_Rhymer,Artist,1961-02-23,2012-11-28,Head and neck cancer
Don_Taylor_(American_actor_and_director),Artist,1920-12-13,1998-12-29,Heart failure
Donald_E._Stewart,Artist,1930-01-24,1999-04-28,Cancer
Donald_J._Tyson,Businessperson,1930-04-21,2011-01-06,Lung cancer
Donald_Justin_Wolfram,Other,1919-11-13,"['2003-08-25', '2013-11-03']",Pancreatic cancer
Dora_Hand,Other,,1878-10-04,Gunshot
Dorit_Schmiel,Other,1941-04-25,1962-02-19,Schießbefehl
Dorothy_Hood,Artist,1919-08-27,2000-10-28,Breast cancer
Dost_Mohammad_Khan_Baloch,Other,,1930-01-16,Capital punishment
Doud_Eisenhower,Other,"['1917-09-17', '1917-09-24']",1921-01-02,Scarlet fever
Douglas_Fairbanks,Artist,1883-05-23,1939-12-12,Myocardial infarction
Douglas_Wilson_(activist),Politician,1950-10-11,1992-09-26,AIDS
Duke_York,Artist,1908-10-17,1952-01-24,Suicide
Dursley_McLinden,Artist,1965-05-29,1995-08-07,AIDS
Daisey_Bailey,Other,1896-03-30,2010-03-07,Organ dysfunction
Dale_Thorn,Other,1942-10-07,2014-05-08,Parkinson's disease
